Lane;Date;CLS1;CLS2;CLS3;CLS4;CLS5;CLS6
MG1;1/1/06 0:00;0;118;5;2;2;20
MG1;1/1/06 1:00;0;155;9;2;0;16
MG1;1/1/06 2:00;0;163;4;6;0;9
MG1;1/1/06 3:00;0;153;4;5;0;14
MG1;1/1/06 4:00;2;58;2;0;1;19
MG1;1/1/06 5:00;1;39;2;1;2;21
MG1;1/1/06 6:00;0;39;2;1;6;10
MG1;1/1/06 7:00;0;31;2;1;5;14
MG1;1/1/06 8:00;1;22;3;2;4;19
MG1;1/1/06 9:00;0;38;4;2;6;21
MG1;1/1/06 10:00;0;57;1;1;8;27
MG1;1/1/06 11:00;0;59;3;2;7;29
MG1;1/1/06 12:00;2;103;4;1;10;22
MG1;1/1/06 13:00;1;109;3;1;7;26
MG1;1/1/06 14:00;1;109;4;6;6;22
MG1;1/1/06 15:00;1;97;0;1;8;29
MG1;1/1/06 16:00;1;88;2;2;8;26
MG1;1/1/06 17:00;0;86;4;1;6;24
MG1;1/1/06 18:00;1;76;3;1;6;25
MG1;1/1/06 19:00;0;68;2;2;9;20
MG1;1/1/06 20:00;4;52;0;0;9;23
MG1;1/1/06 21:00;2;43;3;0;2;27
MG1;1/1/06 22:00;0;42;3;3;5;22
MG1;1/1/06 23:00;1;36;4;1;8;19
MG1;1/2/06 0:00;0;30;5;1;2;26
MG1;1/2/06 1:00;1;20;3;0;0;16
MG1;1/2/06 2:00;0;9;2;1;1;8
MG1;1/2/06 3:00;0;13;3;0;1;6
MG1;1/2/06 4:00;0;15;4;1;2;8
MG1;1/2/06 5:00;0;14;2;2;0;17
MG1;1/2/06 6:00;0;20;3;0;2;12
MG1;1/2/06 7:00;0;35;2;2;2;16
MG1;1/2/06 8:00;0;38;1;2;5;22
MG1;1/2/06 9:00;0;56;5;5;9;25
MG1;1/2/06 10:00;2;77;0;1;8;20
MG1;1/2/06 11:00;1;116;4;0;6;26
MG1;1/2/06 12:00;1;158;2;5;10;19
MG1;1/2/06 13:00;0;158;4;1;7;21
MG1;1/2/06 14:00;2;138;1;0;11;21
