Lane,DateTime,AverageSpeed (km/h)
MG1,01/01/2005 00:00,44.3503937
MG1,01/01/2005 01:00,38.27669903
MG1,01/01/2005 02:00,45.53278689
MG1,01/01/2005 03:00,47.38888889
MG1,01/01/2005 04:00,47.2311828
MG1,01/01/2005 05:00,46.18852459
MG1,01/01/2005 06:00,44.03846154
MG1,01/01/2005 07:00,43.55263158
MG1,01/01/2005 08:00,44.29104478
MG1,01/01/2005 09:00,42.43333333
MG1,01/01/2005 10:00,42.86585366
MG1,01/01/2005 11:00,41.43333333
MG1,01/01/2005 12:00,41.98
MG1,01/01/2005 13:00,42.1350365
MG1,01/01/2005 14:00,41.93478261
MG1,01/01/2005 15:00,41.21559633
MG1,01/01/2005 16:00,38.65384615
MG1,01/01/2005 17:00,39.84782609
MG1,01/01/2005 18:00,40.52419355
MG1,01/01/2005 19:00,42.19026549
MG1,01/01/2005 20:00,42.67045455
MG1,01/01/2005 21:00,43.48837209
MG1,01/01/2005 22:00,41.20967742
MG1,01/01/2005 23:00,42.41666667
MG1,02/01/2005 00:00,44.33823529
MG1,02/01/2005 01:00,48.3
MG1,02/01/2005 02:00,48.125
MG1,02/01/2005 03:00,44.16666667
MG1,02/01/2005 04:00,45.29411765
MG1,02/01/2005 05:00,48.63207547
MG1,02/01/2005 06:00,46.375
MG1,02/01/2005 07:00,47.42424242
MG1,02/01/2005 08:00,45.18656716
MG1,02/01/2005 09:00,45.03246753
MG1,02/01/2005 10:00,44.70183486
MG1,02/01/2005 11:00,44.10869565
MG1,02/01/2005 12:00,42.83333333
MG1,02/01/2005 13:00,42.37804878
MG1,02/01/2005 14:00,41.97183099
MG1,02/01/2005 15:00,43.83093525
MG1,02/01/2005 16:00,40.91216216
MG1,02/01/2005 17:00,39.26870748
MG1,02/01/2005 18:00,38.23333333
MG1,02/01/2005 19:00,43.60655738
MG1,02/01/2005 20:00,42.95454545
MG1,02/01/2005 21:00,45.81775701
MG1,02/01/2005 22:00,45.29069767
MG1,02/01/2005 23:00,46.08108108
MG1,03/01/2005 00:00,46.40410959
MG1,03/01/2005 01:00,50.18518519
MG1,03/01/2005 02:00,46.34615385
MG1,03/01/2005 03:00,48.42592593
MG1,03/01/2005 04:00,48.35714286
MG1,03/01/2005 05:00,45.45918367
MG1,03/01/2005 06:00,45.0
MG1,03/01/2005 07:00,46.38059701
MG1,03/01/2005 08:00,46.47590361
MG1,03/01/2005 09:00,44.94791667
MG1,03/01/2005 10:00,44.73214286
MG1,03/01/2005 11:00,43.52272727
MG1,03/01/2005 12:00,44.48630137
MG1,03/01/2005 13:00,44.88255034
MG1,03/01/2005 14:00,43.10606061
MG1,03/01/2005 15:00,43.33333333
MG1,03/01/2005 16:00,40.21929825
MG1,03/01/2005 17:00,41.1827957
MG1,03/01/2005 18:00,42.43975904
